check_id,passed,observed,expected,detail
raw_hashes_dimensions_dates_missingness_reconciled,True,"{""hash_mismatches"": 0, ""sources"": 5, ""used_missing_cells"": 0}","{""hash_mismatches"": 0, ""used_missing_cells"": 0}","Raw-file hashes, dimensions, date ranges, duplicates, and used-field missingness are recorded in data_audit.csv."
event_calendar_independent_recalculation,True,"{""all_monday"": true, ""rows"": 21}","{""all_monday"": true, ""rows"": 21}",The formal interface is exactly the 21 Monday weeks from 2026-02-23 through 2026-07-13.
rolling_origins_independent_recalculation,True,"{""damped_local_trend"": 216, ""harmonic_ridge"": 216, ""seasonal_naive"": 216}","{""damped_local_trend"": 216, ""harmonic_ridge"": 216, ""seasonal_naive"": 216}",Every candidate uses all 216 feasible one-step weekly origins; no origin thinning is present.
counterfactual_metrics_independently_recomputed,True,"{""bias"": 2.9103830456733704e-11, ""count_mismatches"": 0, ""mae"": 1.1641532182693481e-10, ""wape"": 8.326672684688674e-17}","{""bias"": 1e-06, ""count_mismatches"": 0, ""mae"": 1e-06, ""wape"": 1e-09}","WAPE, MAE, Bias, origin counts, and point counts are recomputed directly from the prediction CSV."
counterfactual_selection_rule_independently_replayed,True,"""harmonic_ridge""","""harmonic_ridge""",The frozen 21-week WAPE rule and declared tie breaks are replayed without event-period tuning.
residual_library_independently_matched,True,"{""rows"": 216, ""selected_model"": ""harmonic_ridge""}","{""event_free"": true, ""rows"": 216}",The residual library is exactly the selected model's unique event-free one-step residual series.
hmm_split_and_semantics_independently_checked,True,"{""heldout_rows"": ""18"", ""training_rows"": ""456""}","{""closure_label_used"": false, ""heldout_rows"": 18, ""training_rows"": 456}",The two-state HMM uses the frozen chronological split and is interpreted only as a geopolitical-risk state model.
release_clock_and_monthly_propagation_independently_checked,True,"{""late_releases"": 0, ""month_step_mismatches"": 0, ""weekly_matrix_applications"": 0}","{""late_releases"": 0, ""month_step_mismatches"": 0, ""weekly_matrix_applications"": 0}",The source-month-to-maturity power is a calendar-month difference; the monthly matrix is never applied weekly.
event_identities_independently_recomputed,True,"{""max_blocked_identity_error"": 4.656612873077393e-10, ""max_unit_error"": 1.4210854715202004e-14}","{""blocked_nonnegative"": true, ""serviceability_in_0_1"": true}","Serviceability, positive shortfall, and U_Q conversion are recomputed from the formal interface."
unique_downstream_interface_and_no_manual_ramp,True,"{""interface_sha256"": ""407b06106c86f7173d399d8a66283f48ac6746b146c869c14cf77bad3ba3a976"", ""replay_sha256"": ""407b06106c86f7173d399d8a66283f48ac6746b146c869c14cf77bad3ba3a976"", ""risk_sources"": [""released_hmm_filter""]}","{""identical_interfaces"": true, ""risk_source"": [""released_hmm_filter""]}",The replay and unique interface are byte-identical and contain no artificial risk ramp.
