contract_id,critical,chapter,equation_label,methodological_claim,input_variables,implementation_file,implementation_function,production_caller,output_file,output_columns,acceptance_test,maximum_observed_residual,tolerance,tolerance_basis,status,failure_reason
M0_UPSTREAM_LOCKS,True,5.1--5.2,authorized artifact identity,all accepted upstream evidence is fail-closed by exact SHA256,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-5/extended_audits.py,verify_upstream_locks,run_5_2_5,upstream_lock_audit.csv,expected_sha256|actual_sha256|status,independent production-output recalculation plus controlled shared-kernel case,0.0,0.0,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M1_RELEASED_INFORMATION,True,"3,4",released-risk filtering and lead alignment,alpha_nu(t) P^h enters controller observation,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/features.py,state_features,ActorPolicy / ModelGuidedPolicy,cross_module_trace.csv,information_vector_sha256|observation_sha256,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-12,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M2_MATCHED_SCENARIOS,True,"5.1,5.2",matched path construction,same exogenous path and released information across policies,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/paths.py,build_test_paths,run_5_2_2,acceptance_case_registry.csv,maximum_residual,independent production-output recalculation plus controlled shared-kernel case,0.0,0.0,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M3_FEASIBLE_PROJECTION,True,"3,4",weighted convex projection,all five action blocks share one feasible projector,"production state, released information, action, path/checkpoint as applicable",src/tre84/actions.py,ActionProjector.project,run_replication / MPC / training,projection_feasibility.csv,primal_feasibility_residual,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-07,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M4_RCMSA_EQUILIBRIUM,True,"3,4",RC-MSA fixed point,endogenous route-wait-exit response attains tolerance,"production state, released information, action, path/checkpoint as applicable",src/tre84/behavior.py,RCMSASolver.solve,ModelKernel.execute,rcmsa_comparison_summary.csv,terminal_residual,independent production-output recalculation plus controlled shared-kernel case,7.82793778183664e-07,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M5_TAGGED_TRANSITION,True,3,tagged transition,tags persist through maritime and four internal stages,"production state, released information, action, path/checkpoint as applicable",src/tre84/transition.py,TaggedTransition.step,ModelKernel.execute,tagged_mass_balance.csv,maximum_tag_level_residual,independent production-output recalculation plus controlled shared-kernel case,5.684341886080802e-14,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M6_COMPLETE_LOSS,True,3,operational objective,"queue, waiting, two exits, overload, route, action and terminal close","production state, released information, action, path/checkpoint as applicable",src/tre84/loss.py,OperationalLoss.compute,TaggedTransition.step,loss_reconciliation.csv,absolute_reconciliation_error,independent production-output recalculation plus controlled shared-kernel case,2.9103830456733704e-10,1e-06,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M7_NONANTICIPATIVITY,True,"3,4",beginning-of-week information,identical histories imply identical current actions,"production state, released information, action, path/checkpoint as applicable",experiments/5.2-2/simulator.py,run_replication,all policy decide interfaces,policy_nonanticipativity.csv,maximum_action_difference,independent production-output recalculation plus controlled shared-kernel case,0.0,1.4210854715202004e-14,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M8_NESTED_MPC,True,4,scenario-weighted finite-horizon objective,candidate sequences use full projected kernel rollout and terminal value,"production state, released information, action, path/checkpoint as applicable",src/tre84/control.py,ProjectedStochasticMPC.evaluate,MPCPolicy / selector,mpc_objective_recalculation.csv,absolute_difference|selected_is_argmin,independent production-output recalculation plus controlled shared-kernel case,0.0,1e-07,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
M9_BC_SAC_SELECTOR,True,4,BC-SAC high-consequence selector,choose min formal nested score from exactly BC and SAC,"production state, released information, action, path/checkpoint as applicable",src/tre84/control.py,TwoProposalSelector.select,ModelGuidedPolicy,selector_decision_trace.csv,mechanical_argmin,independent production-output recalculation plus controlled shared-kernel case,0.0,0.0,"5.1/Chapter 3-4 registered production tolerance, solver precision, or machine-precision finite-difference rule",PASS,
