parameter,value,source,evidence_class,basis_or_formula,basis_status
HMM.transition_matrix,"[[0.9103344690884552, 0.08966553091154487], [0.6803176991315283, 0.31968230086847177]]",5.2.1 hmm_parameter_manifest.csv,training-sample estimate,estimated on 456 months through 2024-12-31,REGISTERED
HMM.training_stationary_distribution,"[0.8835487223448633, 0.11645127765513666]",5.2.1 unconditional comparator,derived estimate,stationary row distribution satisfying alpha_bar P = alpha_bar,REGISTERED
release_mapping.nu_t,latest packet with release_date <= decision week,5.2.1 release clock,historical information interface,nonanticipative carry-forward at Monday decisions,REGISTERED
lead_horizon.h,calendar month ordinal(maturity)-ordinal(source month),Chapter 3 and 5.2.1,model definition,monthly matrix is never multiplied once per week,REGISTERED
5.2.2.action.readiness_lead_weeks,8,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.action.direct_lead_weeks,0,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.action.readiness_order_cost_per_unit,0.125,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.action.direct_order_cost_per_unit,1.0,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.action.readiness_exercise_cost_per_unit,0.125,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.action.publication_cost_per_unit,1.0,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.action.period_budget_fraction,0.5,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.action.cumulative_budget_fraction,0.5,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.capacity_technology.readiness_maturity_yield,1.0,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.capacity_technology.readiness_consumption,1.0,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.capacity_technology.readiness_capacity_yield,1.0,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.capacity_technology.readiness_decay,0.0,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.capacity_technology.direct_maturity_yield,1.0,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.capacity_technology.direct_decay,1.0,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.clearance.maximum_weeks,104,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.clearance.empty_tolerance,1e-06,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.numerics.mass_tolerance,1e-06,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.numerics.loss_identity_tolerance,1e-06,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
5.2.2.numerics.figure_dpi,300,accepted 5.2.2 config,Chapter 3 model or numerical design,inherited unchanged,REGISTERED
information_regime.I0,"{""label"": ""No newly released risk information"", ""controller_input"": ""training stationary distribution propagated at the native monthly frequency"", ""evidence_class"": ""implementable comparator""}",5.2.4 preregistration,implementable comparator,training stationary distribution propagated at the native monthly frequency,REGISTERED
information_regime.IF,"{""label"": ""Current filtered risk only"", ""controller_input"": ""latest legally released filtered high-risk belief repeated at the lead coordinate"", ""evidence_class"": ""implementable current-state comparator""}",5.2.4 preregistration,implementable current-state comparator,latest legally released filtered high-risk belief repeated at the lead coordinate,REGISTERED
information_regime.IL,"{""label"": ""Released lead-aligned forecast"", ""controller_input"": ""latest legally released alpha multiplied by P to the calendar-month distance from source month to readiness maturity"", ""evidence_class"": ""primary implementable regime""}",5.2.4 preregistration,primary implementable regime,latest legally released alpha multiplied by P to the calendar-month distance from source month to readiness maturity,REGISTERED
information_regime.ORACLE,"{""label"": ""Perfect information oracle"", ""controller_input"": ""realized current disruption state and realized readiness-maturity disruption state"", ""evidence_class"": ""unattainable theoretical upper bound""}",5.2.4 preregistration,unattainable theoretical upper bound,realized current disruption state and realized readiness-maturity disruption state,REGISTERED
warning_scenario.GH,"{""label"": ""Historical release"", ""construction"": ""canonical 5.2.1 public release dates and historical event physical path"", ""evidence_class"": ""historical information replay""}",5.2.4 preregistration,historical information replay,canonical 5.2.1 public release dates and historical event physical path,REGISTERED
warning_scenario.GT,"{""label"": ""Minimally sufficient true release"", ""construction"": ""move the last event-pre information packet to event onset minus readiness lead so g_R equals zero"", ""evidence_class"": ""designed information timing stress""}",5.2.4 preregistration,designed information timing stress,move the last event-pre information packet to event onset minus readiness lead so g_R equals zero,REGISTERED
warning_scenario.GL,"{""label"": ""Insufficient lead"", ""construction"": ""move the same packet to the first Monday after the g_R equals zero boundary"", ""evidence_class"": ""designed information timing stress""}",5.2.4 preregistration,designed information timing stress,move the same packet to the first Monday after the g_R equals zero boundary,REGISTERED
warning_scenario.GFW,"{""label"": ""False warning"", ""construction"": ""use GT release timing with the matched normal-demand path and serviceability fixed at one"", ""evidence_class"": ""designed information timing stress""}",5.2.4 preregistration,designed information timing stress,use GT release timing with the matched normal-demand path and serviceability fixed at one,REGISTERED
capacity_rights.RD,"{""label"": ""Readiness and direct procurement"", ""readiness_allowed"": true, ""direct_allowed"": true}",5.2.4 preregistration,reoptimized action-right design,restriction after raw proposal and before common projector,REGISTERED
capacity_rights.R,"{""label"": ""Readiness only"", ""readiness_allowed"": true, ""direct_allowed"": false}",5.2.4 preregistration,reoptimized action-right design,restriction after raw proposal and before common projector,REGISTERED
capacity_rights.D,"{""label"": ""Direct procurement only"", ""readiness_allowed"": false, ""direct_allowed"": true}",5.2.4 preregistration,reoptimized action-right design,restriction after raw proposal and before common projector,REGISTERED
capacity_rights.NONE,"{""label"": ""Neither readiness nor direct procurement"", ""readiness_allowed"": false, ""direct_allowed"": false}",5.2.4 preregistration,reoptimized action-right design,restriction after raw proposal and before common projector,REGISTERED
5.2.4.controller.architecture,5.2.2 model-guided BC-constrained-SAC two-proposal selector,config_5_2_4.json,preregistered experiment design,frozen before test evaluation,REGISTERED
