methodological_claim,equation_label,implementation_file,implementation_function,output_file,tolerance,status,failure_reason
all accepted upstream evidence is fail-closed by exact SHA256,authorized artifact identity,experiments/5.2-5/extended_audits.py,verify_upstream_locks,upstream_lock_audit.csv,0.0,PASS,
alpha_nu(t) P^h enters controller observation,released-risk filtering and lead alignment,experiments/5.2-2/features.py,state_features,cross_module_trace.csv,1e-12,PASS,
same exogenous path and released information across policies,matched path construction,experiments/5.2-2/paths.py,build_test_paths,acceptance_case_registry.csv,0.0,PASS,
all five action blocks share one feasible projector,weighted convex projection,src/tre84/actions.py,ActionProjector.project,projection_feasibility.csv,1e-07,PASS,
endogenous route-wait-exit response attains tolerance,RC-MSA fixed point,src/tre84/behavior.py,RCMSASolver.solve,rcmsa_comparison_summary.csv,1e-06,PASS,
tags persist through maritime and four internal stages,tagged transition,src/tre84/transition.py,TaggedTransition.step,tagged_mass_balance.csv,1e-06,PASS,
"queue, waiting, two exits, overload, route, action and terminal close",operational objective,src/tre84/loss.py,OperationalLoss.compute,loss_reconciliation.csv,1e-06,PASS,
identical histories imply identical current actions,beginning-of-week information,experiments/5.2-2/simulator.py,run_replication,policy_nonanticipativity.csv,1.4210854715202004e-14,PASS,
candidate sequences use full projected kernel rollout and terminal value,scenario-weighted finite-horizon objective,src/tre84/control.py,ProjectedStochasticMPC.evaluate,mpc_objective_recalculation.csv,1e-07,PASS,
choose min formal nested score from exactly BC and SAC,BC-SAC high-consequence selector,src/tre84/control.py,TwoProposalSelector.select,selector_decision_trace.csv,0.0,PASS,
dispatch cannot arrive early or disappear,maritime lag convolution,src/tre84/transition.py,_inject_and_advance_pipeline,travel_lag_acceptance.csv,1e-06,PASS,
readiness/direct capacity obey registered delivery timing,capacity pipelines,src/tre84/capacity.py,CapacityDynamics.transition,capacity_pipeline_acceptance.csv,1e-06,PASS,
same config/data/path/checkpoint/seed reproduces aggregates,matched deterministic replay,experiments/5.2-4/run_5_2_4.py,historical anchor replay,reproducibility_audit.csv,1e-06,PASS,
existing route-tagged mass remains at its current stage and receives zero service,physical route unavailability,src/tre84/transition.py,TaggedTransition.step,unavailable_route_acceptance.csv,1e-06,PASS,
right censoring is preserved and terminal outstanding is charged exactly once,explicit clearance and terminal correction,src/tre84/clearance.py,ClearanceRunner.run,clearance_terminal_acceptance.csv,1e-06,PASS,
historical distance is evaluated on the complete master choice support with unavailable current routes set to zero,Algorithm RC-MSA deterministic Sel_t,src/tre84/behavior.py,RCMSASolver._distance_to_previous,chapter4_contract_reinforcement.csv,1e-12,PASS,
the reference forecast callback cannot observe the current disclosure block,frozen disclosure baseline uses a_t^{-I},src/tre84/factory.py,disclosure_reference_action / StandardBehaviorProblemFactory.__call__,chapter4_contract_reinforcement.csv,0.0,PASS,
every previous vintage ages exactly once and only renewed new cargo enters age zero,no waiting vintage is reset,src/tre84/transition.py; src/tre84/acceptance.py,TaggedTransition.step / _physical_certificate,chapter4_contract_reinforcement.csv,1e-06,PASS,
"every candidate/scenario/period and two-proposal decision retains projection, equilibrium, transition, loss, failure and selection evidence",integrated execution logs all module certificates,src/tre84/control.py,ProjectedStochasticMPC.evaluate / TwoProposalSelector.select,chapter4_contract_reinforcement.csv,1e-06,PASS,
"accepted fixed points, projected actions, nested objectives, upstream anchors and precision evidence remain numerically equivalent",contract-only repair equivalence,experiments/5.2-5/extended_audits.py,core_repair_numerical_equivalence_audit,core_repair_numerical_equivalence.csv,1e-06,PASS,
SAC samples a preprojection diagonal Gaussian and records its latent density,reparameterised latent policy,experiments/5.2-2/features.py,LinearActor.sample_latent_normalised,sac_update_recalculation.csv,0.0,PASS,
